Character,Sentence      
MR. BORGIN,If I may just in today --     
LUCIUS MALFOY,Im not buying today Mr. Borgin.     
LUCIUS MALFOY,But selling.      
MR. BORGIN, Selling?      
LUCIUS MALFOY,You have heard of course that the Ministry of Magic is conducting more raids.    
LUCIUS MALFOY,There are even rumors of a new Muggle Protection Act...      
LUCIUS MALFOY,I have a few... ah... items at home that might prove embarrassing if the Ministry were to call.      
LUCIUS MALFOY,Certain poisons and the like...      
MR. BORGIN,Hmmm... yes. I see...      
DRACO,Can I have this?      
MR. BORGIN,Ah the Hand of Glory.     
MR. BORGIN,Insert a candle and it gives light only to the holder.      
MR. BORGIN,Best friend of thieves and plunderers.      
MR. BORGIN,Your son has fine taste sir.     
LUCIUS MALFOY, Hopefully my son will amount to more than a thief Mr. Borgin.     
LUCIUS MALFOY,Though if his marks dont pick up --      
DRACO, Its not my fault the teachers have favorites.      
DRACO,That Hermione Granger --      
LUCIUS MALFOY,I would have thought youd be ashamed that a girl of no wizarding family beat you in every exam.      
MR. BORGIN,Its the same all over.      
MR. BORGIN,Wizard blood is counting for less everywhere.      
LUCIUS MALFOY,Not with me.      
LUCIUS MALFOY,Very good.      
LUCIUS MALFOY,Ill expect you at the manor tomorrow.      
LUCIUS MALFOY,Come Draco.     
WITCH,Not lost are you my dear?    
HARRY,Im fine thank you. I was just going...     
WITCH,Come with us.      
WITCH,Well help you find your way back.      
HARRY, No. Please...      
HAGRID, Harry?      
HARRY,Hagrid!      
HAGRID,What do you think youre doing down here? Come on.      
HAGRID,Youre a mess Harry.     
HAGRID,Skulking around Knockturn Alley?      
HAGRID,Dodgy place.      
HAGRID,Dont want no one to see you there.      
HAGRID,People will think youre up to no good.      
HARRY,I was lost I...     
HARRY,Hang on.      
HARRY,What were you doing down there then?      
HAGRID,Me? I was...      
HAGRID,I was looking for Flesh-Eating Slug Repellent.      
HAGRID,Theyre ruining all the school cabbages.      
HERMIONE,Harry. Hagrid.      
HAGRID,Hello Hermione.     
HERMIONE,Its so good to see you.      
HARRY,Its great to see you too.      
HERMIONE,What did you do to your glasses?      
HERMIONE,Oculus Reparo.      
HARRY,I definitely need to remember that one.      
HAGRID,Youll be all right now then Harry?     
HAGRID,Right. Ill leave you to it.      
HERMIONE,Okay bye.     
HARRY,Thank you. Bye.      
HERMIONE,Come on everyones been so worried.     
MRS. WEASLEY,Harry.      
MRS. WEASLEY,Thank goodness.      
MRS. WEASLEY,Wed hoped youd only gone one grate too far.      
MAN,Ladies and gentlemen Mr. Gilderoy Lockhart.     
MRS. WEASLEY,Ohh Here he is.     
RON,Mum fancies him.      
PHOTOGRAPHER,Make way there please.     
PHOTOGRAPHER,Let me by madam. Thank you.     
PHOTOGRAPHER,Excuse me little girl.     
PHOTOGRAPHER,This is for the Daily Prophet.      
LOCKHART,It cant be. Harry Potter?      
PHOTOGRAPHER,Harry Potter!      
PHOTOGRAPHER,Excuse me madam.     
LOCKHART,Nice big smile Harry.     
LOCKHART,Together you and I rate the front page.     
LOCKHART,Ladies and gentlemen what an extraordinary moment this is.     
LOCKHART,When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography Magical Me…     
LOCKHART,which incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list    
LOCKHART,he had no idea that he would in fact be leaving with my entire collected works free of charge.    
LOCKHART,Now ladies?     
MRS. WEASLEY,Harry now you give me those and Ill get them signed.    
MRS. WEASLEY,All of you wait outside.      
MRS. WEASLEY,Thats it Ron.      
DRACO,Ill bet you loved that didnt you Potter?    
DRACO,Famous Harry Potter.      
DRACO,Cant go into a bookshop without making the front page.      
GINNY,Leave him alone.      
DRACO,Look Potter.     
DRACO,Youve got yourself a girlfriend.      
LUCIUS MALFOY,Now now Draco play nicely.   
LUCIUS MALFOY,Mr. Potter.      
LUCIUS MALFOY,Lucius Malfoy. We meet at last.      
LUCIUS MALFOY,Forgive me.      
LUCIUS MALFOY,Your scar is legend.      
LUCIUS MALFOY,As of course is the wizard who gave it to you.    
HARRY,Voldemort killed my parents.      
HARRY,He was nothing more than a murderer.      
LUCIUS MALFOY,You must be very brave to mention his name.      
LUCIUS MALFOY,Or very foolish.      
HERMIONE,Fear of a name only increases fear of the thing itself.      
LUCIUS MALFOY,And you must be Miss Granger.      
LUCIUS MALFOY,Yes Draco has told me all about you.     
LUCIUS MALFOY,And your parents.      
LUCIUS MALFOY,Muggles arent they?     
LUCIUS MALFOY,Let me see.      
LUCIUS MALFOY,Red hair vacant expressions tatty secondhand book.    
LUCIUS MALFOY,You must be the Weasleys.      
MR. WEASLEY,Children Its mad in here.     
MR. WEASLEY,Lets go outside.      
LUCIUS MALFOY,Well well well. Weasley senior.    
MR. WEASLEY,Lucius.      
LUCIUS MALFOY,Busy time at the Ministry Arthur all those extra raids?    
LUCIUS MALFOY,I do hope theyre paying you overtime but judging by the state of this Id say not.     
LUCIUS MALFOY,Whats the use in being a disgrace to the name of wizard if they dont even pay you well for it?      
MR. WEASLEY,We have a very different idea about what disgraces the name of wizard Malfoy.     
LUCIUS MALFOY,Clearly.      
LUCIUS MALFOY,Associating with Muggles.      
LUCIUS MALFOY,And I thought your family could sink no lower.      
LUCIUS MALFOY,Ill see you at work.      
DRACO,See you at school.      
MR. WEASLEY,10:58 come on.     
MRS. WEASLEY,The train will be leaving any moment.      
MRS. WEASLEY,Oh dear! The trainll be leaving any moment!      
MR. WEASLEY,Fred George Percy you first.   
MRS. WEASLEY,Okay.      
MR. WEASLEY,After you dear.     
MRS. WEASLEY,Come on Ginny well get you a seat. Hurry.    
HARRY,Lets go.      
TRAINMASTER,What do you two think youre doing?      
HARRY,Sorry.      
HARRY,Lost control of the trolley.      
HARRY,Why cant we get through?      
RON,I dont know.      
RON,The gateway has sealed itself for some reason.      
HARRY,The train leaves at exactly 11:00.      
HARRY,Weve missed it.      
RON,Harry if we cant get through maybe Mum and Dad cant get back.     
HARRY,Maybe we should just go and wait by the car.      
RON,The car.      
HARRY,Ron I should tell you most Muggles arent accustomed to seeing a flying car.     
RON,Aaa Right.     
RON,Oh no! The Invisibility Booster must be faulty.     
HARRY,Come on then. Lets go lower.     
HARRY,We need to find the train.      
RON,Okay.      
HARRY,All we need to do is catch up with the train.      
RON,We cant be far behind.      
HARRY,Do you hear that?      
RON,We must be getting close.      
HARRY,Hold on.      
HARRY,Aaaaaaahhhh!      
RON,Haaaarryyy!      
RON,Hold oonnn!!!      
RON,Take my hand!      
RON,Hold on!      
HARRY,Im trying. Your hands all sweaty.      
HARRY,I think we found the train.      
RON,Yeah.      
RON,Welcome home.      
HARRY,Up! Up!      
RON,Its not working!      
HARRY,Up! Ron mind that tree!     
HARRY,Aaahhh! Aaah!      
RON,Stop! Stop! Stop!      
RON,My wand. Look at my wand.      
HARRY,Be thankful its not your neck.      
RON,Whats happening?      
HARRY,I dont know.      
HARRY,Come on go! Fast!     
RON,Scabbers youre okay.     
RON,The caaaar!      
RON,Dads gonna kill me.      
HARRY,See you Hedwig.     
HARRY,So a house-elf shows up in my bedroom we cant get through the barrier to platform 93/4...      
HARRY,we almost get killed by a tree...      
HARRY,Clearly someone doesnt want me here this year.      
FILCH,Well take a good look lads.    
FILCH,This night might well be the last you spend in this castle.      
FILCH,Oh dear we are in trouble.    
SNAPE,You were seen by no less than seven Muggles.      
SNAPE,Do you have any idea how serious this is?      
SNAPE,You have risked the exposure of our world.      
SNAPE,Not to mention the damage you inflicted on a Whomping Willow.      
SNAPE,thats been on these grounds since before you were born.      
RON,Honestly Professor Snape I think it did more damage to us.    
SNAPE,Silence.      
SNAPE,I assure you that were you in Slytherin and your fate rested with me...     
SNAPE,the both of you would be on the train home tonight.      
SNAPE,As it is...      
DUMBLEDORE,They are not.      
HARRY,Professor Dumbledore.      
HARRY,Professor McGonagall.      
SNAPE,Headmaster these boys have flouted the Decree for the Restriction of Underage Wizardry.      
FILCH,As such...      
DUMBLEDORE,I am well aware of our bylaws having written quite a few of them myself.      
DUMBLEDORE,However as head of Gryffindor house it is for Professor McGonagall to determine the appropriate action.     
RON,Well go and get our stuff then.     
MCGONAGALL,What are you talking about Mr. Weasley?     
RON,Youre going to expel us arent you?     
MCGONAGALL,Not today Mr. Weasley but I must impress on both of you the seriousness of what you have done.     
MCGONAGALL,I will be writing to your families tonight and you will both receive detention.     
PROFESSOR SPROUT,Morning everyone.     
CLASS,Good morning everyone.     
PROFESSOR SPROUT,Good morning Professor Sprout.     
PROFESSOR SPROUT,Welcome to Greenhouse Three Second Years.     
PROFESSOR SPROUT,Today we will be re-potting Mandrakes.     
PROFESSOR SPROUT,Now who here can tell me the properties of the Mandrake?     
PROFESSOR SPROUT,Yes Miss Granger.     
HERMIONE,Mandrake or Mandragora is used to return those who have been Petrified to their original state.     
HERMIONE,Its also quite dangerous.      
HERMIONE,The Mandrakes cry is fatal to anyone who hears it.      
PROFESSOR SPROUT,Excellent. Ten points to Gryffindor.      
PROFESSOR SPROUT,As our Mandrakes are still only seedlings their cries wont kill you yet.      
PROFESSOR SPROUT,But they could knock you out for hours which is why I have given you earmuffs for auditory protection.     
PROFESSOR SPROUT,So could you please put them on right away? Quickly.     
PROFESSOR SPROUT,Flaps tight down and watch me closely.     
PROFESSOR SPROUT,You grasp your Mandrake firmly.      
PROFESSOR SPROUT,You pull it sharply up out of the pot.      
PROFESSOR SPROUT,Got it? And now you dunk it down into the other pot      
PROFESSOR SPROUT,and pour a little sprinkling of soil to keep him warm.      
PROFESSOR SPROUT,Longbottoms been neglecting his earmuffs.      
SEAMUS,No maam hes just fainted.    
PROFESSOR SPROUT,Yes well just leave him there.    
PROFESSOR SPROUT,Right on we go.     
PROFESSOR SPROUT,Plenty of pots to go around.      
PROFESSOR SPROUT,Grasp your Mandrake and pull it up.      
PENELOPE CLEARWATER,Theres Nearly Headless Nick.      
PERCY,Hello Sir Nicolas.     
SIR NICHOLAS,Hello Percy Miss Clearwater.    
RON,Say it. Im doomed.      
HARRY,Youre doomed.      
COLIN,Hi Harry.     
COLIN,Im Colin Creevey. Im in Gryffindor too.      
HARRY,Hi Colin. Nice to meet you.     
DEAN,Ron is that your owl?     
RON,Bloody birds a menace.      
SEAMUS,Heads up everyone.     
SEAMUS,Weasleys gotten himself a Howler.      
NEVILLE,Go on Ron.     
NEVILLE,I ignored one from my gran once.      
NEVILLE,It was horrible.      
MRS. WEASLEY,RONALD WEASLEY!      
MRS. WEASLEY,HOW DARE YOU STEAL THAT CAR!      
MRS. WEASLEY,I AM ABSOLUTELY DISGUSTED!      
MRS. WEASLEY,YOUR FATHERS NOW FACING AN INQUIRY AT WORK AND ITS ENTIRELY YOUR FAULT!      
MRS. WEASLEY,IF YOU PUT ANOTHER TOE OUT OF LINE WELL BRING YOU STRAIGHT HOME!      
MRS. WEASLEY,And Ginny dear congratulations on making Gryffindor.   
MRS. WEASLEY,Your father and I are so proud.      
LOCKHART,Let me introduce you to your new Defense Against the Dark Arts Teacher.      
LOCKHART,Me. Gilderoy Lockhart Order of Merlin Third Class Honorary Member of the Dark Force Defense League and five times winner of Witch Weeklys Most-Charming-Smile Award   
LOCKHART,But I dont talk about that.      
LOCKHART,I didnt get rid of the Bandon Banshee by smiling at her!      
LOCKHART,Now be warned.     
LOCKHART,It is my job to arm you against the foulest creatures known to wizardkind.      
LOCKHART,You may find yourselves facing your worst fears in this room.      
LOCKHART,Know only that no harm can befall you whilst I am here.      
LOCKHART,I must ask you not to scream.      
LOCKHART,It might provoke them.      
SEAMUS,Cornish pixies?      
LOCKHART,Freshly caught Cornish pixies.      
LOCKHART,Laugh if you will Mr. Finnegan but pixies can be devilishly tricky little blighters.     
LOCKHART,Lets see what you make of them.      
LOCKHART,Come on now round them up round them up!    
LOCKHART,Theyre only pixies.      
CORNISH PIXIES,You just stay there!      
NEVILLE,Please get me down!     
HERMIONE,Get off me!      
HARRY,Stop. Hold still!      
LOCKHART,Peskipiksi Pesternomi!      
LOCKHART,Ill ask you three to just nip the rest of them back into their cage.      
RON,What do we do now?      
HERMIONE,Immobulus!      
NEVILLE,Why is it always me?      
WOOD,I spent the summer devising a whole new Quidditch program.      
WOOD,Were gonna train earlier harder and longer.     
WOOD,What...? I dont believe it.      
WOOD,Where you think youre going Flint?     
FLINT,Quidditch practice.      
WOOD,I booked the pitch for Gryffindor today.      
FLINT,Easy Wood. Ive got a note.     
RON,I smell trouble.      
WOOD,I Professor Severus Snape do hereby give the Slytherin team permission to practice today owing to the need to train their new Seeker.   
WOOD,Youve got a new Seeker. Who?      
HARRY,Malfoy?      
DRACO,Thats right.      
DRACO,And thats not all thats new this year.      
RON,Those are Nimbus 2001 s.      
RON,How did you get those?      
FLINT,A gift from Dracos father.      
DRACO,You see Weasley unlike some my father can afford the best.   
HERMIONE,At least no one on the Gryffindor team had to buy their way in.      
HERMIONE,They got in on pure talent.      
DRACO,No one asked your opinion you filthy little Mudblood.     
RON,Youll pay for that one Malfoy.     
RON,Eat slugs!      
HERMIONE,You okay Ron?     
HERMIONE,Say something.      
COLIN,Wow! Can you turn him around Harry?     
HARRY,No Colin get out of the way.    
HARRY,Lets take him to Hagrids.      
HARRY,Hell know what to do.      
HAGRID,This calls for a specialists equipment.      
HAGRID,Nothing to do but wait till it stops Im afraid.     
HAGRID,Okay.      
HAGRID,Better out than in.      
HAGRID,Who was Ron trying to curse anyway?     
HARRY,Malfoy. He called Hermione...      
HARRY,Well I dont know exactly what it means.     
HERMIONE,He called me a Mudblood.      
HAGRID,He did not.      
HARRY,Whats a Mudblood?      
HERMIONE,It means dirty blood.      
HERMIONE,Mudbloods a foul name for someone whos Muggle-born.      
HERMIONE,Someone with non-magic parents.      
HERMIONE,Someone like me.      
HERMIONE,Its not a term one usually hears in civilized conversation.      
HAGRID,See the thing is Harry there are some wizards like the Malfoy family...who think theyre better than everyone else because theyre pure-blood.  
HARRY,Thats horrible.      
RON,Its disgusting.      
HAGRID,And its codswallop to boot.      
HAGRID,Dirty blood.      
HAGRID,Why there isnt a wizard alive today thats not half-blood or less.     
HAGRID,More to the point theyve yet to think of a spell that our Hermione cant do.     
HAGRID,Come here.      
HAGRID,Dont you think on it Hermione.     
HAGRID,Dont you think on it for one minute.      
LOCKHART,Harry Harry Harry.    
LOCKHART,Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?      
HARRY,Not really.      
LOCKHART,Fame is a fickle friend Harry.     
LOCKHART,Celebrity is as celebrity does.      
LOCKHART,Remember that.      
VOICE,Come.      
VOICE,Come to me.      
HARRY,What?      
LOCKHART,Sorry?      
HARRY,That voice.      
LOCKHART,Voice?      
HARRY,Didnt you hear it?      
LOCKHART,What are you talking about Harry?     
LOCKHART,I think youre getting a bit drowsy.      
LOCKHART,And great Scott no wonder.     
LOCKHART,Look at the time.      
LOCKHART,Weve been here nearly four hours.      
LOCKHART,Spooky how the time flies when one is having fun.      
HARRY,Spooky.      
VOICE,Blood.      
VOICE,I smell blood.      
VOICE,Let me rip you.      
VOICE,Let me kill you.      
VOICE,Kill!      
VOICE,Kill!      
VOICE,Kill!      
HERMIONE,Harry!      
HARRY,Did you hear it?      
RON,Hear what?      
HARRY,That voice.      
HERMIONE,Voice? What voice?      
HARRY,I heard it first in Lockharts office.      
HARRY,And then again just...      
VOICE,Its time.      
HARRY,Its moving.      
HARRY,I think its going to kill.      
RON,Kill?      
HERMIONE,Harry wait! Not so fast!     
HARRY,Strange.      
HARRY,Ive never seen spiders act like that.      
RON,I dont like spiders.      
RON,Whats that?      
HERMIONE,The Chamber of Secrets has been opened.          
HERMIONE,Enemies of the Heir beware.     
HERMIONE,Its written in blood.      
HARRY,Oh no.     
HARRY,Its Filchs cat.      
HARRY,Its Mrs. Norris.      
DRACO,Enemies of the Heir beware.     
DRACO,Youll be next Mudbloods.     
FILCH,Whats going on here?      
FILCH,Go on. Make way make way.     
FILCH,Potter?      
FILCH,What are you...?      
FILCH,Mrs. Norris?      
FILCH,Youve murdered my cat.      
HARRY,No. No.      
FILCH,Ill kill you.      
FILCH,Ill kill you!      
DUMBLEDORE,Argus!      
DUMBLEDORE,Argus I...     
DUMBLEDORE,Everyone will proceed to their dormitories immediately.      
DUMBLEDORE,Everyone except you three.      
DUMBLEDORE,Shes not dead Argus.     
DUMBLEDORE,She has been Petrified.      
LOCKHART,Aghh! Thought so.      
LOCKHART,So unlucky I wasnt there.      
LOCKHART,I know exactly the countercurse that couldve spared her.      
DUMBLEDORE,But how she has been Petrified I cannot say.     
FILCH,Ask him.      
FILCH,Its him thats done it.      
FILCH,You saw what he wrote on the wall.      
HARRY,Its not true sir. I swear.     
HARRY,I never touched Mrs. Norris.      
FILCH,Rubbish.      
SNAPE,If I might headmaster?     
SNAPE,Perhaps Potter and his friends were just in the wrong place at the wrong time.      
SNAPE,However the circumstances are suspicious.      
SNAPE,I for one dont recall seeing Potter at dinner.    
LOCKHART,Im afraid thats my doing Severus.     
LOCKHART,You see Harry was helping me answer my fan mail.     
HERMIONE,Thats why Ron and I went looking for him professor.     
HERMIONE,Wed just found him when he said...      
SNAPE,Yes Miss Granger?     
HARRY,When I said I wasnt hungry.      
HARRY,We were heading back to the common room when we found Mrs. Norris.      
DUMBLEDORE,Innocent until proven guilty Severus.     
FILCH,My cat has been Petrified.      
FILCH,I want to see some punishment!      
DUMBLEDORE,We will be able to cure her Argus.     
DUMBLEDORE,As I understand it Madam Sprout has a very healthy growth of Mandrake.     
DUMBLEDORE,When matured a potion will be made which will revive Mrs. Norris.     
DUMBLEDORE,And in the meantime I strongly recommend caution to all.      
HERMIONE,Its a bit strange isnt it?     
HARRY,Strange?      
HERMIONE,You hear this voice a voice only you can hear...     
HERMIONE,and then Mrs. Norris turns up Petrified. Its just strange.      
HARRY,Do you think I should have told them?      
HARRY,Dumbledore and the others I mean?     
RON,Are you mad?      
HERMIONE,No Harry. Even in the wizarding world hearing voices isnt a good sign.    
PICTURE,Shes right you know.     
MCGONAGALL,Could I have your attention please?     
MCGONAGALL,Right. Now today we will be transforming animals into water goblets.    
MCGONAGALL,Like so.      
MCGONAGALL,One two three. Vera Verto.    
MCGONAGALL,Now its your turn.      
MCGONAGALL,Who would like to go first?      
MCGONAGALL,Ahh Mr. Weasley.     
